grupo,coluna,n,media,mediana
Sentimento,intensity_clean,21,7.0476,8.0
Sentimento,sentiment_encoded,187,0.1818,0.0
Sentimento,emotion_encoded,187,3.2941,2.0
Teorias,num_theories,187,0.3476,0.0
Teorias,avg_theory_plausibility,37,6.7049,7.0
Teorias,max_theory_plausibility,37,7.1892,8.0
Temas,num_themes,187,4.1444,5.0
Temas,num_canonical_themes,187,3.738,4.0
Temas,theme_character_development,187,0.9251,1.0
Temas,theme_nostalgia,187,0.8021,1.0
Temas,theme_plot_elements,187,0.7701,1.0
Temas,theme_relationships,187,0.6524,1.0
Temas,theme_theories,187,0.4332,0.0
Temas,theme_cinematography,187,0.1123,0.0
Temas,theme_music,187,0.0428,0.0
